Simplified	Pinyin	english
层次	céngcì	level; rank order; standing; layer
差别	chābié	difference; disparity
插座	chāzuò	power socket
查获	cháhuò	investigate and capture a criminal; discover
岔	chà	fork in the road; turn off; diverge
刹那	chànà	an instant (Sanskrit: ksana); split second
诧异	chàyì	flabbergasted; astonished
柴油	cháiyóu	diesel fuel; kerosene
搀	chān	assist by the arm; mix; support; sustain
馋	chán	gluttonous; greedy
缠绕	chánrào	bind; wind; twirl; twist; intertwine
产业	chǎnyè	industry; estate; property
阐述	chǎnshù	expound (a position); elaborate (on a topic)
颤抖	chàndǒu	tremble; to shiver; to shake
昌盛	chāngshèng	prosperous
尝试	chángshì	to try; attempt
偿还	chánghuán	repay; reimburse
场合	chǎnghé	occasion; situation
场面	chǎngmiàn	scene; occasion
场所	chǎngsuǒ	location; place
敞开	chǎngkāi	open wide
畅通	chàngtōng	unimpeded; unclogged; free-flowing; straight path; to expedite
畅销	chàngxiāo	best seller; chart-topping; very marketable
倡导	chàngdǎo	to advocate; propose
倡议	chàngyì	suggest; propose
钞票	chāopiào	paper money; bill
超越	chāoyuè	surpass; exceed; transcend
巢穴	cháoxué	lair; nest; den; hideout
朝代	cháodài	dynasty; reign (of a king)
嘲笑	cháoxiào	jeer; mock; scoff
潮流	cháoliú	tide; current; trend
撤退	chètuì	retreat
撤销	chèxiāo	repeal
沉淀	chéndiàn	to precipitate (solid sediment out of a solution); to settle
沉闷	chénmèn	oppressive (of weather); heavy; depressed; not happy
沉思	chénsī	ponder; contemplate; meditation
沉重	chénzhòng	heavy; hard; serious
沉着	chénzhuó	calm and collected; not nervous
陈旧	chénjiù	old fashioned; outmoded; obsolete
陈列	chénliè	to display; to exhibit
陈述	chénshù	allegation; assertation; to declare; to state
衬托	chèntuō	to set off; serve as a foil to
称心如意	chènxīnrúyì	find sth. satisfactory
称号	chēnghào	title; term of address
成本	chéngběn	cost (manufacturing, production, etc.)
成交	chéngjiāo	complete a contract; clinch a deal; to seal
成天	chéngtiān	all day long; all the time
成效	chéngxiào	effect; result
成心	chéngxīn	intentional; deliberate; with prior intent
成员	chéngyuán	member
呈现	chéngxiàn	appear; emerge; present (a certain appearance)
诚挚	chéngzhì	sincere; cordial; earnest
承办	chéngbàn	undertake; accept an assignment
承包	chéngbāo	to contract (to undertake a job)
承诺	chéngnuò	to promise
城堡	chéngbǎo	castle
乘	chéng	to ride; to mount; make use of; multiply
盛	chéng, shèng	contain; to ladle; to fill | flourishing; grand; abundant
惩罚	chéngfá	penalty; punishment; to punish; to penalize
澄清	chéngqīng	(of liquid) settle; become clear; (Chem.) precipitate
橙	chéng	orange (color); orange (fruit, tree)
秤	chèng	balance; scale; steelyard
吃苦	chī kǔ	bear hardships; suffer
吃力	chīlì	strenuous; exhausted
迟钝	chídùn	slow (witted); stupid; dull
迟缓	chíhuǎn	slow; sluggish
迟疑	chíyí	hesitate
持久	chíjiǔ	duration; enduring; lasting; persistent
赤道	chìdào	the equator
赤字	chìzì	(financial) deficit; red ink
冲动	chōngdòng	impulsive; act on impulse
冲击	chōngjī	attack; impact; a shock
冲突	chōngtū	conflict; clash
充当	chōngdāng	serve as; play the part of
充沛	chōngpèi	abundant; plentiful; vigorous
充实	chōngshí	substantial; rich; enrich; substantiate
充足	chōngzú	adequate; sufficient; abundant
重叠	chóngdié	to overlap
崇拜	chóngbài	worship; adore
崇高	chónggāo	lofty; sublime
崇敬	chóngjìng	revere; admire; veneration
稠密	chóumì	dense; thick
筹备	chóubèi	make preparations; get ready for something
丑恶	chǒu'è	ugly; repulsive; odiousness
出路	chūlù	a way out; outlet
出卖	chūmài	sell; betray; sell out
出身	chūshēn	family background; class origin
出神	chū shén	be lost in thought; entranced; preoccupation; Trance (music genre)
出息	chūxi	future prospects; aspiration; promise
初步	chūbù	initial; preliminary; tentative
除	chú	besides; except; remove; to divide (mathematics)
处分	chǔfèn	punish; punishment; discipline; disposal
处境	chǔjìng	plight; unfavorable situation
处置	chǔzhì	to handle; take care of; punish
储备	chǔbèi	reserves; store up
储存	chǔcún	stockpile; to store
储蓄	chǔxù	to save; to deposit
触犯	chùfàn	offend; violate
川流不息	chuān liú bù xī	(saying) flowing of an endless stream
穿越	chuānyuè	pass through; cut across
传达	chuándá	convey; transmit; communicate
传单	chuándān	leaflet; flier; pamphlet
传授	chuánshòu	impart; pass on; teach
船舶	chuánbó	ships; boats; watercraft
喘气	chuǎnqì	to pant; gasp for breath
串	chuàn	string together; conspire; gang up; mix up; bunch
床单	chuángdān	bed sheet
创立	chuànglì	to found; establish
创新	chuàngxīn	innovate; innovation
创业	chuàngyè	begin an undertaking; start a major task; start a company
创作	chuàngzuò	create; to produce; creative work
吹牛	chuī niú	to brag; (regional) to chat
吹捧	chuīpěng	flatter sb.; extol sb.'s accomplishments
炊烟	chuīyān	smoke from kitchen chimneys
垂直	chuízhí	perpendicular; vertical
锤	chuí	hammer; weight
纯粹	chúncuì	purely; pure
纯洁	chúnjié	pure; unadulterated; cleanse
慈善	císhàn	philanthropic; benevolent; charitable
慈祥	cíxiáng	a kindly person; benevolent (often of older people)
磁带	cídài	cassette tape
雌雄	cíxióng	male and female; winners and losers
次品	cìpǐn	defective or substandard products
次序	cìxù	sequence; order
伺候	cìhou	serve; wait upon; act as a valet
刺	cì	thorn; to sting; to prick; pierce; stab
从容	cóngróng	leisurely; calm
丛	cóng	crowd together; thicket; collection
凑合	còuhe	bring together; make do in a bad situation; improvise
粗鲁	cūlǔ	crude; coarse; rough; language
窜	cuàn	to flee; to escape; run away
摧残	cuīcán	to ruin; devastate; vandalize
脆弱	cuìruò	weak; fragile; flimsy; frail
搓	cuō	rub or roll between the hands or fingers; to twist
磋商	cuōshāng	discuss seriously; consult; negotiate
挫折	cuòzhé	setback; defeat; frustration
搭	dā	to erect; to build; travel by (car, plane, etc.); to hang; to join
搭档	dādàng	team up; cooperate; work together
搭配	dāpèi	pair up; arrange in pairs; to add sth. into a group; to suit
达成	dá chéng	to reach (an agreement); achieve
答辩	dábiàn	reply (to an accusation)
答复	dáfù	to answer; to reply
打包	dǎbāo	get a doggy bag (at a restaurant); pack up
打官司	dǎ guānsi	go to court
打击	dǎjī	to strike; to hit; to attack
打架	dǎ jià	to fight; scuffle; to come to blows
打量	dǎliang	take measure of; size up
打猎	dǎ liè	hunt; to go hunting
打仗	dǎzhàng	fight; go to war; fight a battle
大不了	dàbuliǎo	at the worst; if worst comes to worst; serious, alarming
大臣	dàchén	chancellor
大伙儿	dàhuǒr	everyone
大肆	dàsì	wantonly; without any constraint
大体	dàtǐ	in general; more or less; on the whole
大意	dàyì	main idea; general idea; gist
大致	dàzhì	more or less; roughly; approximately
歹徒	dǎitú	evil person who commits crimes; villain; gangster
代价	dàijià	price; cost; expense
代理	dàilǐ	acting (temporarily filling a position); agent
带领	dàilǐng	to guide; to lead
怠慢	dàimàn	to slight; give somebody a cold shoulder; treat somebody in a cold manner
逮捕	dàibǔ	to arrest; to capture
担保	dānbǎo	guarantee; vouch for
胆怯	dǎnqiè	timid; coward
诞辰	dànchén	birthday
诞生	dànshēng	be born; come into being
淡季	dànjì	off season; slow business season
淡水	dànshuǐ	fresh water; potable water (water with low salt content)
蛋白质	dànbáizhì	protein
当场	dāngchǎng	at the scene; on the spot
当初	dāngchū	at that time; at the outset; originally
当代	dāngdài	present day; contemporary
当面	dāng miàn	to sb.'s face; in sb.'s presence
当前	dāngqián	current; modern; present
当事人	dāngshìrén	persons involved or implicated; party (to an affair)
当务之急	dāngwùzhījí	the most pressing matter of the moment; a top priority task; urgent matter
当选	dāngxuǎn	be elected
党	dǎng	party; club; association
档案	dàng'àn	file; record; archive
档次	dàngcì	grade; quality; class; level
导弹	dǎodàn	guided missile; cruise missile
导航	dǎoháng	navigation
导向	dǎoxiàng	guidance; lead to; direct something towards
捣乱	dǎo luàn	cause a disturbance; look for trouble
倒闭	dǎobì	go bankrupt; close down
盗窃	dàoqiè	steal; pilfer
稻谷	dàogǔ	rice crops/paddy
得不偿失	dé bù cháng shī	the gains do not outweigh the losses
得力	délì	able; competent
得天独厚	détiāndúhòu	enjoy exceptional advantages; richly endowed by nature
得罪	dézuì	offend; a faux pas
灯笼	dēnglong	lantern
登陆	dēnglù	to land; come ashore; sign/log in
登录	dēnglù	sign-in
蹬	dēng	press down with the foot; step back or into something
等候	děnghòu	wait; queue
等级	děngjí	degree; rate
瞪	dèng	stare at; to glower
堤坝	dībà	dam; dyke
敌视	díshì	be hostile; adopt a negative attitude towards
抵达	dǐdá	arrive; to reach (a destination); touch down
抵抗	dǐkàng	resist; resistance
抵制	dǐzhì	resistance; refusal (to cooperate); boycott
地步	dìbù	condition; plight; extent
地势	dìshì	terrain; topography of a place
地质	dìzhì	geology
递增	dìzēng	increase step by step; steadily increase
颠簸	diānbǒ	shake; to jolt; bump
颠倒	diāndǎo	turn upside down; upend
典礼	diǎnlǐ	celebration; ceremony
典型	diǎnxíng	typical case; model
点缀	diǎnzhuì	decorate; an ornament; beautify; embellish; be the finishing touch
电源	diànyuán	electric power supply
垫	diàn	cushion; to pad; pay for somebody and expect to be repaid
惦记	diànjì	to remember with concern; to be concerned about; to think about; to keep thinking about; to worry about
奠定	diàndìng	establish; to found; to settle
叼	diāo	hold sth. in the mouth
雕刻	diāokè	carve; engrave; sculpt
雕塑	diāosù	sculpture; a statue; a Buddhist image
吊	diào	hang; suspend
调动	diàodòng	to transfer; to maneuver (troops, etc.)
跌	diē	to fall down; to drop
丁	dīng	male adult; robust; cubes (of food); T-shaped (4th Heavenly Stem)
叮嘱	dīngzhǔ	urge again and again; exhort; repeatedly warn
盯	dīng	to stare; to gaze
定期	dìngqī	regularly; at regular intervals
定义	dìngyì	definition
丢人	diū rén	lose face; be disgraced
丢三落四	diūsān làsì	forgetful; scatterbrained
东道主	dōngdàozhǔ	host for a party or conference
东张西望	dōngzhāngxīwàng	look in all directions; glance around
董事长	dǒngshìzhǎng	chairman of the board
动荡	dòngdàng	(social or political) turmoil; unrest; upheaval
动机	dòngjī	motive; motivation; intention
动静	dòngjìng	sound of activity; activity
动力	dònglì	power; motion; impetus; driving force
动脉	dòngmài	artery
动身	dòng shēn	go on a journey; leave
动手	dòngshǒu	get to work; to touch; strike a blow
动态	dòngtài	development; trend; dynamic state
动员	dòngyuán	mobilize
冻结	dòngjié	(loan, wage, price) freeze
栋	dòng	roof beam; (mw for buildings)
兜	dōu	pocket; bag; wrap up (in a piece of cloth); move around (in a circle); canvass (solicit); take responsibility
陡峭	dǒuqiào	steep; precipitous
斗争	dòuzhēng	to struggle; to fight for; to battle
督促	dūcù	supervise and urge sb. to complete a task
毒品	dúpǐn	drugs; narcotics; poison
独裁	dúcái	dictatorship
堵塞	dǔsè	block; stop
赌博	dǔbó	to gamble
杜绝	dùjué	put an end to
端	duān	end; beginning; extremity; carry holding something from the sides
端午节	Duānwǔ Jié	Dragon Boat Festival
端正	duānzhèng	upright; regular; proper; correct
短促	duǎncù	short in time duration; fleeting; brief
断定	duàndìng	conclude; determine; figure out
断绝	duànjué	sever; break off
堆积	duījī	pile up; accumulate
队伍	duìwu	ranks; troops
对策	duìcè	countermeasure for dealing with a situation
对称	duìchèn	symmetry
对付	duìfu	to handle; deal with
对抗	duìkàng	withstand; resist; antagonize
对立	duìlì	oppose; to counter
对联	duìlián	rhyming couplet; vertical written couplet usually placed along either side of a doorway
对应	duìyìng	corresponding; counterpart
对照	duìzhào	contrast; compare
兑现	duìxiàn	cash a check; honor a commitment
顿时	dùnshí	immediately; suddenly
多元化	duōyuánhuà	diversify; diversification
哆嗦	duōsuo	tremble; to shiver; to quiver
堕落	duòluò	morally degenerate; become depraved
额外	éwài	extra; added; additional
恶心	ěxin	disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit; vice)
恶化	èhuà	worsen; deteriorate
遏制	èzhì	keep within limits; contain; restrain; hold back
恩怨	ēnyuàn	grievance; old rivalry; mixture of gratitude and resentment
而已	éryǐ	that's all; nothing more
二氧化碳	èryǎnghuàtàn	carbon dioxide; CO2
发布	fābù	issue; announce; release
发财	fā cái	get rich
发呆	fādāi	stare blankly; daze off
发动	fādòng	to start; to launch; mobilize
发觉	fājué	discover; detect
发射	fāshè	to launch; to shoot (a projectile); to fire (a rocket)
发誓	fāshì	to vow; to pledge; swear
发行	fāxíng	publish; to issue; distribute
发炎	fāyán	become inflamed from infection or injury
发扬	fāyáng	develop; make full use of; to carry on
发育	fāyù	develop; growth
法人	fǎrén	legal entity (i.e., a corporation)
番	fān	(mw for acts or deeds); foreign
凡是	fánshì	every; any; all; without exception
繁华	fánhuá	flourishing; bustling; prosperous
繁忙	fánmáng	busy; bustling
繁体字	fántǐzì	traditional Chinese character
繁殖	fánzhí	propagate; to breed; reproduce
反驳	fǎnbó	retort; refute
反常	fǎncháng	abnormal; unusual
反感	fǎngǎn	(strongly) dislike
反抗	fǎnkàng	resist; to revolt
反馈	fǎnkuì	feedback; send information back
反面	fǎnmiàn	the reverse side of sth.; opposite side of a topic
反射	fǎnshè	reflex; reflection (from a mirror, etc.)
反思	fǎnsī	think back over something that happened; to reflect; introspection
反问	fǎnwèn	ask a rhetorical question; answer a question with a question
反之	fǎnzhī	whereas...; on the other hand ...; conversely ...
泛滥	fànlàn	to be in flood; to overflow (the banks); to inundate; to spread unchecked
范畴	fànchóu	category
贩卖	fànmài	sell; peddle; (often derogatory) to traffic in
方位	fāngwèi	position; direction; points of the compass; bearing
方言	fāngyán	dialect
方圆	fāngyuán	circumference; neighborhood; vicinity
方针	fāngzhēn	policy; guidelines
防守	fángshǒu	to defend; protect; to guard
防御	fángyù	defense; resist; to guard
防止	fángzhǐ	prevent; protect; guard against; avoid
防治	fángzhì	prevent and cure
访问	fǎngwèn	to visit; call on; to interview
纺织	fǎngzhī	spinning and weaving; textile
放大	fàngdà	enlarge; amplify
放射	fàngshè	radiate; radioactive
飞禽走兽	fēiqínzǒushòu	birds and animals; the beasts of the field and the birds of the air
飞翔	fēixiáng	fly; hover
飞跃	fēiyuè	to leap
非法	fēifǎ	illegal
肥沃	féiwò	fertile
诽谤	fěibàng	slander; libel
肺	fèi	lung
废除	fèichú	abolish; annul; abrogate
废寝忘食	fèiqǐnwàngshí	to forget even sleeping and eating
废墟	fèixū	ruins
沸腾	fèiténg	to boil; boiling
分辨	fēnbiàn	distinguish; differentiate; resolve
分寸	fēncun	propriety; the limits of proper speech or action
分红	fēn hóng	a bonus; to award a bonus; to draw or recieve dividends; to share profits
分解	fēnjiě	to decompose; to resolve; to break down
分裂	fēnliè	split up; to divide; separate
分泌	fēnmì	secrete
分明	fēnmíng	clear; distinct; evidently; clearly
分歧	fēnqí	difference (of opinion/position）
分散	fēnsàn	to scatter; disperse; distribute
吩咐	fēnfù	instruct; instructions; to tell; to order (to do something)
坟墓	fénmù	tomb; sepulcher
粉末	fěnmò	fine powder; dust
粉色	fěnsè	pink
粉碎	fěnsuì	to crash; break up
分量	fènliàng	weight; heft; amount
愤怒	fènnù	angry; indignant; furious; anger; indignation; wrath; ire
丰满	fēngmǎn	plump; well developed; plentiful; Fengman district of Jilin City, Jilin Province
丰盛	fēngshèng	sumptuous; lavish
丰收	fēngshōu	bumper crop; have a good harvest
风暴	fēngbào	storm; violent commotion
风度	fēngdù	elegant demeanor; grace; poise; style
风光	fēngguāng	a natural scenic view; sight
风气	fēngqì	general mood; atmosphere; common practice
风趣	fēngqù	humor; wit; humorous
风土人情	fēngtǔrénqíng	local conditions (human and environmental)
风味	fēngwèi	local flavor; local style
封闭	fēngbì	to seal; to close; confine
封建	fēngjiàn	feudal; feudalism
封锁	fēngsuǒ	to blockade; to seal off
锋利	fēnglì	sharp (i.e. a knife blade); incisive; to the point
逢	féng	to meet; come upon
奉献	fèngxiàn	consecrate; dedicate; devote
否决	fǒujué	veto; reject; overrule
夫妇	fūfù	married couple; husband and wife
夫人	fūrén	lady; madam; Mrs.; wife
敷衍	fūyǎn	to elaborate (on a theme); to expound (the classics); to do sth. half-heartedly or just for show; barely enough to get by; perfunctory; apathetic; to skimp; to botch
服从	fúcóng	to obey; to comply
服气	fúqì	be convinced
俘虏	fúlǔ	captive; prisoner
符号	fúhào	symbol; mark; sign
幅度	fúdù	width; margin; extent
辐射	fúshè	radiation
福利	fúlì	material benefits; welfare; well-being
福气	fúqì	good fortune
抚摸	fǔmō	gently caress and stroke; to pet; to fondle
抚养	fǔyǎng	foster; bring up; raise
俯视	fǔshì	look down at; overlook
辅助	fǔzhù	assist; aide
腐败	fǔbài	corruption; corrupt; rotten
腐烂	fǔlàn	rot; become gangrenous
腐蚀	fǔshí	erode; corrode; corrupt; rusty
腐朽	fǔxiǔ	rotten; decayed; decadent; degenerate
负担	fùdān	to (bear a) burden; carry; a load
附和	fùhè	repeat an agreement; copy sb.'s action or words
附件	fùjiàn	attachment; enclosure
附属	fùshǔ	subsidiary; auxiliary; affiliate; attached
复活	fùhuó	resurrection
复兴	fùxīng	revive; restore
副	fù	vice-; secondary; auxiliary; deputy; assistant; classifier for pairs (i.e. glasses)
赋予	fùyǔ	confer upon; bestow; endow; entrust (a task)
富裕	fùyù	rich; to prosper; wealthy
腹泻	fùxiè	diarrhea
覆盖	fùgài	to cover
改良	gǎiliáng	improve; to reform
钙	gài	calcium
盖章	gàizhāng	affix one's seal; seal; stamp
干旱	gānhàn	drought; dry
干扰	gānrǎo	interfere; obstruction
干涉	gānshè	interfere; intervene; meddle
干预	gānyù	meddle; intervene; intervention
尴尬	gāngà	awkward; embarrassed
感慨	gǎnkǎi	lament; with a tinge of emotion or regret
感染	gǎnrǎn	infection; infect; influence
干劲	gànjìn	enthusiasm; energy; drive
纲领	gānglǐng	program; guiding principle
岗位	gǎngwèi	a post; a job
港口	gǎngkǒu	port; harbor
港湾	gǎngwān	harbor; estuary
杠杆	gànggǎn	lever; pry bar; crowbar; financial leverage
高超	gāochāo	excellent; superb
高潮	gāocháo	high tide; upsurge; climax; chorus (of a song)
高峰	gāofēng	peak; summit; apex
高明	gāomíng	brilliant; wise
高尚	gāoshàng	nobly; lofty
高涨	gāozhǎng	upsurge; (tensions, etc.) run high
稿件	gǎojiàn	rough draft of a document
告辞	gàocí	take leave; bid farewell
告诫	gàojiè	warn; admonish
疙瘩	gēda	swelling or lump on skin
鸽子	gēzi	dove; pigeon
搁	gē	to place; put aside
割	gē	to cut (apart/off)
歌颂	gēsòng	sing the praise of; extol; eulogize
革命	gémìng	revolution; revolutionary (politics); cause great social change; rise in revolt; take part in revolution
格局	géjú	structure; pattern
格式	géshì	form; specification; format
隔阂	géhé	estrangement; misunderstanding
隔离	gélí	insulate; separate; isolate
个体	gètǐ	individual
各抒己见	gèshūjǐjiàn	everyone gives their own view
根深蒂固	gēn shēn dì gù	deep-rooted; ingrained; inveterate (problem, etc.)
根源	gēnyuán	origin; root; source
跟前	gēnqián	in front of
跟随	gēnsuí	follow; followed
跟踪	gēnzōng	follow somebody's tracks; tail; shadow
更新	gēngxīn	to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate; to rejuvenate
更正	gēngzhèng	correct; correction
耕地	gēngdì	arable land; to plow land
工艺品	gōngyìpǐn	handicraft; handiwork
公安局	gōngānjú	public security bureau
公道	gōngdao	fair; equitable
公告	gōnggào	post; announcement
公关	gōngguān	public relations
公民	gōngmín	citizen
公然	gōngrán	(do something) openly; undisguised
公认	gōngrèn	publicly know (to be); recognize; generally acknowledged
公式	gōngshì	formula
公务	gōngwù	public affairs; official business
公正	gōngzhèng	just; fair
公证	gōngzhèng	notarization
功劳	gōngláo	contribution; meritorious; credit
功效	gōngxiào	efficiency; effectiveness
攻击	gōngjī	to attack; accuse; to charge
攻克	gōngkè	to capture; to take
供不应求	gōng bú yìng qiú	(saying) demand outstrips supply
供给	gōngjǐ	to furnish; provide; to supply
宫殿	gōngdiàn	palace
恭敬	gōngjìng	dutiful; deferential
巩固	gǒnggù	consolidate; solidify
共和国	gònghéguó	republic
共计	gòngjì	sum up; total
共鸣	gòngmíng	physical resonance; sympathetic response to something
勾结	gōujié	collude with; collaborate; gang up
钩子	gōuzi	hook
构思	gòusī	outline a story; make preliminary sketch
孤独	gūdú	lonely; solitary
孤立	gūlì	isolate; isolated
姑且	gūqiě	temporarily; the time being
辜负	gūfù	let down; disappoint; fail to live up to
古董	gǔdǒng	antique
古怪	gǔguài	eccentric; grotesque; oddly
股东	gǔdōng	stockholder; shareholder
股份	gǔfèn	a share (in a company) stock
骨干	gǔgàn	backbone; mainstay
鼓动	gǔdòng	agitate; instigate
固然	gùrán	admittedly; it is true that; indeed
固体	gùtǐ	solid
固有	gùyǒu	intrinsic/inherent to something; native
固执	gùzhí	persistent; stubborn
故乡	gùxiāng	hometown; homeland; birthplace
故障	gùzhàng	malfunction; breakdown
顾虑	gùlǜ	misgivings; apprehensions
顾问	gùwèn	adviser; consultant
雇佣	gùyōng	employ; hire
拐杖	guǎizhàng	crutch; walking stick
关怀	guānhuái	care; solicitude; show care for; concerned about; attentive to
关照	guānzhào	concern; look after; keep an eye on
观光	guānguāng	sight see; tour
官方	guānfāng	official; (by the) government
管辖	guǎnxiá	administer; have jurisdiction (over)
贯彻	guànchè	to implement; put into practice; carry out
惯例	guànlì	conventional
灌溉	guàngài	irrigate
罐	guàn	can; jar; pot; pitcher; jug
光彩	guāngcǎi	splendor; radiance; brilliance; honor
光辉	guānghuī	radiance; brilliant; glory
光芒	guāngmáng	rays of light; brilliant rays; radiance
光荣	guāngróng	glory; honor
广阔	guǎngkuò	wide; vast
归根到底	guī gēn dào dǐ	(saying) to sum it up ...
归还	guīhuán	return something; revert
规范	guīfàn	standard (design or model); norm; without variation; to specify
规格	guīgé	standard; norm; specification
规划	guīhuà	plan; program; project
规章	guīzhāng	regulations; rule
轨道	guǐdào	orbit; railway; trajectory
贵族	guìzú	lord; nobility; nobleman; noblewoman
跪	guì	kneel
棍棒	gùnbàng	club
国防	guófáng	national defense
国务院	guówùyuàn	State Council (PRC); State Department (USA)
果断	guǒduàn	firm; decisive
过度	guòdù	excessive; exceeding; lavishly
过渡	guòdù	to cross a river by ferry; transition; interim
过奖	guòjiǎng	praise excessively; flatter
过滤	guòlǜ	to filter; filter
过失	guòshī	defect; fault
过问	guòwèn	take an interest in; get involved with
过瘾	guòyǐn	satisfy a craving; get a kick out of sth; do to one's heart's content
过于	guòyú	too much; excessively
嗨	hāi	hey/hi (loanword); oh; alas;
海拔	hǎibá	height above sea level; elevation
海滨	hǎibīn	shore; seaside
含糊	hánhu	unclear; vague; unsure
含义	hányì	implied meaning; connotation
寒暄	hánxuān	exchanging conventional greetings; winter and summer
罕见	hǎnjiàn	rare; rarely seen; peculiar
捍卫	hànwèi	defend; uphold; safeguard
行列	hángliè	procession; ranks; queue
航空	hángkōng	aviation
航天	hángtiān	space flight
航行	hángxíng	to sail; to fly
毫米	háomǐ	millimeter
毫无	háo wú	not at all; completely without; not in the least
豪迈	háomài	bold and generous; heroic
号召	hàozhào	call upon; summon; to appeal
耗费	hàofèi	waste; spend; consume
呵	hē	breathe out; scold
合并	hébìng	merge; annex
合成	héchéng	compound; synthesis; mixture
合伙	héhuǒ	to make a partnership
合算	hésuàn	worthwhile; reckon up
和蔼	hé'ǎi	kindly; good-tempered; amiable
和解	héjiě	settlement; to become reconciled
和睦	hémù	peaceful relations; harmonious
和气	héqi	friendly; polite; amiable
和谐	héxié	harmonious; concordant
嘿	hēi	hey; interjection for calling attention
痕迹	hénjì	vestige; trace
狠心	hěn xīn	callous; cruel; cold-blooded
恨不得	hèn bu de	cannot bear not; be dying to
横	héng	horizontal; across; (horizontal character stroke)
哼	hēng	groan; snort; to hum; croon
轰动	hōngdòng	a sensation; a stir
烘	hōng	to dry or warm by the fire; to bake; to heat by fire; to set off by contrast
宏观	hóngguān	macro-; macroscopic
宏伟	hóngwěi	grand; imposing; magnificent; grand
洪水	hóngshuǐ	flood
哄	hǒng	fool; coax; to amuse (a child)
喉咙	hóulóng	throat; larynx
吼	hǒu	roar; howl
后代	hòudài	posterity; later generations; descendants
后顾之忧	hòugùzhīyōu	fears of trouble in the rear (idiom); family worries (obstructing freedom to act); trouble back at home; worries about the future consequences; often in negative expressions, meaning no worries about anything
后勤	hòuqín	logistics
候选	hòuxuǎn	candidate
呼唤	hūhuàn	call out (a name etc.); shout
呼啸	hūxiào	whistle; scream; howl
呼吁	hūyù	call on (someone to do something); appeal
忽略	hūlüè	ignore; forget about; neglect
胡乱	húluàn	carelessly; recklessly
胡须	húxū	beard; moustache; whiskers
湖泊	húpō	lake
花瓣	huābàn	petal
花蕾	huālěi	(flower) bud
华丽	huálì	gorgeous; magnificent
华侨	huáqiáo	overseas Chinese
化肥	huàféi	chemical fertilizer
化石	huàshí	fossil
化验	huàyàn	laboratory test; chemically examine
化妆	huà zhuāng	put on make-up
划分	huàfēn	divide up; differentiate
画蛇添足	huàshétiānzú	draw legs on a snake (idiom); to ruin something by adding something superfluous
话筒	huàtǒng	microphone; transmitter; megaphone
欢乐	huānlè	gaiety; glee; delighted
还原	huányuán	restore to the original state; (Chemistry) reduce
环节	huánjié	link; sector; segment (of annelid worms)
缓和	huǎnhé	alleviate; to moderate; to ease (tension)
患者	huànzhě	sufferer; patient; the sick
荒凉	huāngliáng	desolate
荒谬	huāngmiù	ridiculous; nonsensical
荒唐	huāngtang	beyond belief; preposterous; absurd; intemperate
皇帝	huángdì	emperor
皇后	huánghòu	an empress
黄昏	huánghūn	dusk; evening; nightfall
恍然大悟	huǎngrándàwù	suddenly see the light; suddenly realize what has happened; twig
晃	huàng	to sway; to shake
挥霍	huīhuò	squander money without restraint; squander
辉煌	huīhuáng	splendid; glorious
回报	huíbào	repayment; payback
回避	huíbì	avoid; shun; evade
回顾	huígù	look back; to review
回收	huíshōu	recycle; recover and put back to use
悔恨	huǐhèn	remorse; repentance
毁灭	huǐmiè	perish; ruin; destroy
汇报	huìbào	report; give an account of; to collect information and report back
会晤	huìwù	meet; meeting; conference
贿赂	huìlù	to bribe
昏迷	hūnmí	lose consciousness; be in a coma
荤	hūn	meat or fish dish; pungent vegetables forbidden to Buddhist vegetarians
浑身	húnshēn	entire body; from head to foot
混合	hùnhé	to mix; to blend
混乱	hùnluàn	confusion; chaotic
混淆	hùnxiáo	obscure; confuse; mix up; blur; mislead; confusing
混浊	hùnzhuó	muddy; dirty; turbid
活该	huógāi	serve sb. right; deservedly; ought
活力	huólì	energy; vitality; vigor
火箭	huǒjiàn	rocket
火焰	huǒyàn	blaze; flame
火药	huǒyào	gunpowder
货币	huòbì	currency; money
讥笑	jīxiào	sneer at; deride
饥饿	jī'è	hunger; hungry; starve
机动	jīdòng	motorized; mobile; flexible
机构	jīgòu	structure; organization; institution
机灵	jīling	clever; quick-witted; smartness
机密	jīmì	secret; classified (information)
机械	jīxiè	machine; mechanical
机遇	jīyù	opportunity; stroke of good luck; favorable circumstance
机智	jīzhì	tact; quick-witted; resourceful
基地	jīdì	base (of operations)
基金	jījīn	fund; endowment
基因	jīyīn	gene
激发	jīfā	to arouse; excite
激励	jīlì	urge; encourage; motivation
激情	jīqíng	passion; strong emotion; fervor; enthusiasm
及早	jízǎo	as soon as possible; at the earliest possible time
吉祥	jíxiáng	lucky
级别	jíbié	rank; level; grade
极端	jíduān	extreme
极限	jíxiàn	limit; extreme boundary
即便	jíbiàn	even if; even though
即将	jíjiāng	will shortly; soon; be on the verge of
急功近利	jígōngjìnlì	eager for success and profit
急剧	jíjù	rapid; sudden
急切	jíqiè	eager; impatient; imperative
急于求成	jíyúqiúchéng	impatient for success
急躁	jízào	irritable; impetuous; impatient
疾病	jíbìng	disease; illness; sickness; ailment
集团	jítuán	group; bloc; circle; clique
嫉妒	jídù	to be jealous; to envy, covet; to hate; to begrudge
